,,,
sympathetic,adj,同情的/有同情心的
sympathy,n,同情/贊同
symphony,n,交響樂/交響曲
syrup,n,糖漿
systematic,adj,有系統的/分類的
technician,n,技術人員/技師
technological,adj,科技的
telegram,n,電報
telegraph,n,電報/電報機
telescope,n,望遠鏡
tendency,n,趨向/傾向
tense,adj,時態/時式
tension,n,緊張/不安
terrify,v,驚嚇
terror,n,恐怖/可怕的人
theme,n,主題/話題
thorough,adj,完全的/徹底的
thoughtful,adj,深思的/體貼的
timid,adj,膽小的/羞怯的
tiresome,adj,無聊的/煩人的
tolerable,adj,可容忍的/可以的
tolerance,n,包容/容忍
tolerant,adj,寬容的/寬大的
tolerate,v,寬容/忍受
tomb,n,墳墓
tough,adj,固執的/困難的/暴徒
tragedy,n,悲劇/慘案
tragic,adj,悲慘的/悲劇的
transfer,v,移動/遷移
transform,v,變換/變形
translate,v,翻譯/轉變為
translation,n,翻譯/譯碼
translator,n,翻譯者/譯碼器
transportation,n,運輸/輸送
tremendous,adj,巨大的/非常的
tribal,adj,部落的/種族的
triumph,n,勝利/歡欣
troublesome,adj,麻煩的/討厭的
tug-of-war,n,拔河
twinkle,v,閃爍/閃耀
typist,n,打字員
underpass,n,地下道
unique,adj,獨特的/唯一的
universal,adj,全世界的/普遍的/通用的
university,n,大學
upload,v,上傳/上載
urban,adj,都市的/住在都市的
urge,v,呼籲/激勵
urgent,adj,緊急的/急迫的
usage,n,用法/使用量
