,,,
scold,v/n,責罵;愛碎念罵人的人
surroundings,n,周圍環境
aspirin,n,阿斯匹靈
minimum,adj/n,最小量的;最小量
maximum,adj/n,最大值的;最大量
maximal,adj,最大化的
maximize,v,最大化
characteristic,n/adj,特性/特徵;特有的/獨特的
alert,adj/v/n,警覺的;使警覺;報警/警戒
adjective,n,形容詞
adverb,n/v,副詞
demand,n/v,要求/需求;強力要求
demanding,adj,嚴格的/要求高的/費力的
in demand, ,有需求的/貨銷路好的
measure,n,度量單位/衡量標準/措施
measurable,adj,可測量的
frame,n/v,邊框;裝框/陷害
contrast,n/v,對比/明顯相異;in contrast with N
comment,v/n,評論
pace,n/v,步調;踱步/踱步於
content,n/adj/v,內容/滿意的/使滿足
contentment,n,知足/滿意
plot,n/v,情節/計謀;密謀
witness,n/v,目擊者;目擊
merit,n/v,優點;值得/應受到
discipline,n/v,紀律/秩序;管教
sacrifice,n/v,犧牲/牲品;犧牲
rebel,n/v,叛軍/反叛者;反叛
rebellious,adj,反派的/叛逆的
protest,v/n,抗議/抗議;protester
stem,n/v,莖;根源於;阻止
conjunction,n,結合;連接詞
arch,n/v,拱門;拱形;拱起
retreat,n/v,撤退;僻靜可靜養之處;退卻;隱退;躲避
guarantee,v/n,保證
contrary,n/adj,相反;相反的
on the contrary, ,相反地
drill,n/v,鑽頭;訓練;演習
peer,n/v,同儕;仔細端詳
estimate,n/v,估計;判斷
estimation,n,估計;判斷
shift,n/v,轉換;值班
encounter,n/v,遭遇;遭遇
lean,v/adj,傾斜;倚靠;使～靠著;瘦的;脂肪少的
crack,n/v,裂縫;使破裂;破解;發出劈啪聲
transfer,n/v,轉學;調任;移轉;過戶;電話轉接
drift,n/v,漂流;漂流
exhibit,n/v,展示會;展覽品;展示
defeast,n/v,挫敗;敗績;打敗
spare,adj/v/n,備用的;多餘的;恕饒;挪出;備用品
curse,n/v,詛咒
