,,,
blooming,adj., （花朵）盛開的；興旺的、繁榮的
peer,v., 凝視、盯著看、端詳
carve,v., 刻鑿；雕、刻；切下
portray,v., 描繪、描述；刻畫
precise,adj., 明確的、確切的；精確的、準確的
myth,n., 神話；錯誤的看法或觀念（常音譯為「迷思」）
continually,adv., 頻繁地、再三地；不間斷地
comprehensible,adj., 易於理解的、可以理解的
depiction,n., 描述、描繪
literature,n., 文學、文學作品
version,n., 版本、變化形式
folklore,n., 民俗、民間傳說
twig,n., 細枝、嫩枝
enduring,adj., 持久的、不朽的
reminder,n., 提醒的事物或話；提示
