,,,
peak,n,山頂
peak,v,到達巔峰
summit,n,山頂
summit,adj,高階層的
label,n,黏貼標籤
label,v,貼標籤/分類
tag,n,吊牌標籤
tag,v,加上標籤/標記
tag along, ,尾隨 跟隨
tailor,n,裁縫師
tailor,v,縫製/修改、使適合
tailor-made, adj,特製的;訂做的
ready-made, adj,做好的、現成的
tease,v,取笑
tough,adj,肉硬的/困難的/不屈的
tender,adj,溫柔的/肉質軟嫩的
tenderness,n,溫柔/肉質軟嫩
gentle,adj,溫和的
tutor,n/v,家教/擔任家教、個別指導
wax,n/v,蠟；打蠟/熱蠟除毛
weed,n/v,雜草/除草、剔除、淘汰
wheat,n,小麥
whistle,n./v,口哨/哨子
wicked,adj,邪惡的
bulb,n,燈泡
chimney,n,煙囪
clip,n,小段剪輯影片/夾子、迴紋針
clip,v,修剪/夾著
nail clipper, ,指甲剪
countable,adj,可數的
fairy,n,小精靈
firework,n,煙火
greenhouse,n,溫室
greenhouse effect, ,溫室效應
haircut,n,理髮
hairdresser,n,美髮師
barber,n,理髮師
hatch,v,孵化
hatch,n,船、飛機艙門、出口/孵化
hollow,adj,中空的
hollow,v,挖空
hollow,n,坑洞、凹陷處
housekeeper,n,管家
hut,n,簡陋的小屋
kangaroo,n,袋鼠
koal,n,無尾熊
kit,n,成套工具
first-aid kit, n,急救箱
lace,n,蕾絲/鞋帶
lace,v,以帶綁緊
laundry,n,換下來的髒衣物/洗衣店
do one's laundry, ,洗衣服
laundromat,n,自助洗衣店
reveal,v,透露
leak,n,漏/漏洞
leak,v,滲透、消息洩漏
magnet,n,磁鐵
pearl,n,珍珠
pint,n,品脫
gallon,n,加侖
razor,n,刮鬍刀
razor blade, ,刮鬍刀片
bacon,n,培根
sausage,n,香腸
spaghetti,n,義大利麵(類似油麵粗細的麵條)
spice,n,香料/情趣
starve,v,挨餓
starving,adj,飢餓的
