,,,
despite,prep.,儘管、雖然（後接名詞或動名詞）
emerge,v.,出現；露出；興起
native,n.,原住民；本地人
possess,v.,擁有；具備
mission,n.,重要任務、使命
legend,n.,傳說；傳奇（人物）
powder,v.,（使）變成粉末；往⋯⋯上擦粉,
powder,n.,粉末
jewel,n.,寶石；珍寶
historian,n.,歷史學家
refer,v.,稱⋯⋯為；提到、論及
