,,,
bleed,vi,流血
bloody,adj,血腥的
steam,n,蒸氣
stream,n,溪流
streaming,n,串流/線上收看
pump,n,打氣機;抽水機
pump,vt,抽出
elevator,n,電梯;升降機
length,n,長度
width,n,寬度
tower,n,塔;高樓
tower,vi,高聳
tunnel,n,隧道、地道
controller,n,控制者;控制器
thumb,n,拇指
thumb,vt,以拇指撥弄;翻閱;作搭車手勢
alphabet,n,字母系統;字母表
bamboo,n,竹子
cable,n,電纜;巨纜;鋼索
cable TV,,有線電視
cough,n/vi,咳嗽
cough,vt,咳出
crane,n,起重機
crane,n,鶴
data,n,資料;數據
database,n,資料庫
delicious,adj,美味的
dinosaur,n,恐龍
dizzy,adj,暈眩的
donkey,n,驢子
drug,n,藥(物);毒品;對...下藥
drugstore,n,藥房
dumb,adj,啞的;笨的
deaf,adj,聾的
powder,n,粉末;粉狀物
geography,n,地理
nail,n,釘子;指甲
nail,vt,用釘釘牢
hammer,n,鐵鎚
handkerchief,n,手帕
melon,n,香瓜
watermelon,n,西瓜
mosquito,n,蚊子
napkin,n,餐巾
tissue,n,衛生紙
scissors,n,剪刀
semester,n,學期
cotton,n,棉花
skilled,adj,熟練的
squirrel,n,松鼠
subtract,vt,減去
goose,n,鵝
talkative,adj,多話的、健談的
tangerine,n,橘子
terrific,adj,極好的
underwear,n,內衣褲
