,,,
will,n,遺囑;意志
willing,adj,有意願的
part,vi,分開
part,vt,分離
draw,vt,吸引
pull,vt,拉
lay,vt,放置
lay off,,解僱
state,vt,陳述
statement,n,聲明;陳述
sound,adj,紮實的;健全的
soundly,adv,紮實地;安穩地
safe,n,保險箱
bit,n,小塊;一點
season,vi,調味
seasoning,n,調味料
examine,vt,檢查;審查
last,vi,持續
judge,n,評審;法官;審判官
grand,adj,雄偉的
sentence,vt,審判;判決
address,vt,向...發表演說
wind,vi,蜿蜒
wind,vt,纏繞
wind,vt,轉緊(發條)
well,n,井
spell,n,咒語
field,n,田地;領域
court,n,法庭；(網球等的)場地
court,vt,追求
indicate,vt,顯示
material,n,材料、原料
section,n,部位;區塊
bear,vt,忍受
apply,vi,申請
apply,vt,運用
surface,n,表面
principle,n,原理;原則
natural,adj,自然的/天然的/天生的
particular,adj,特別的
occur,vi,發生;突然想到
manner,n,禮貌;風度
pattern,n,規律;型態
maintain,vt,保持;維修;保養
bill,n,帳單
bill,vt,向...收取費用
affair,n,事務;外遇;緋聞
mass,n,一大塊;一大團
exact,adj,精確的
attend,vt,出席;參加
attention,n,注意
shoot,vt,射擊
