,,,
prize,n,獎品，獎項
square,n,正方形;廣場;平方
square,adj,公平誠實的;平方的
spring,n,春天;泉水,
spring,vi,反彈
settle,vi,定居
settlement,n,殖民;移民
greet,vt,打招呼；進入耳鼻或呈現在眼前
subject,n,主題;學科
be subject to,,受制於
object,n,物體
object to (N),,反對
altogether,adv,完全地
dull,adj,沉悶的;無聊的
term,n,術語;專業詞彙
in terms of,,就...而言
pipe,n,管子;(水)管
generous,adj,慷慨的；大方的
shell,n,硬殼
article,n,文章
puzzle,n,難題;迷惑
puzzle,vt,使困惑
beard,n,鬍子
pose,vt,引起;造成
pose,vt,擺姿勢
drum,n,鼓
joint,adj,聯合的
joint,n,關節
debt,n,債務
instant,adj.,立即的，馬上的
instant noodles,,速食麵
instant coffee,,即溶咖啡
function,n,功能
function,vi,運作
spot,vt.,發現；看見
stretch,v,伸展
stretch,n,伸展;伸懶腰
couple,n,一對,
couple,vt.,連結;結合
port,n,港口;連接埠
coin,n,硬幣,
coin,vt,造新字詞
desert,n,沙漠
desert,vt,拋棄
curtain,n,窗簾
forward,vt,轉寄;傳遞
look forward to,,期待
rock,n,岩石;
rock,vt,搖動
broad,adj,寬闊的
wound,n,傷口
wound,vt,被刀;劍或槍所傷
stamp,n,郵票
stamp,vt,跺(腳)
spirit,n,精神;靈魂
in high (good) spirits,,心情好
in low (bad) spirits,,心情不好
slide,n,滑行;溜滑梯;幻燈片
means,n,手段；方法
fit,vt,合身;適合
humble,adj,謙卑的;謙遜的;卑下的
board,n,板;董事會;伙食
board,vt,登上
