,,,
erase,v,擦掉
fancy,adj,昂貴的、豪華的/花俏的
fancy,n,幻想
fancy,v,喜歡（男女之間）/幻想
flock,n,鳥、羊群
flock,v,成群聚集
grocery,n,雜貨
grocer,n,雜貨商
headline,n,頭條/標題
headline,v,以～為標題
heading,n,章節或段落標題
helmet,n,安全帽
homesick,adj,思鄉的
hometown,n,家鄉
outdoor,adj,戶外的
outdoors,adv,在戶外
indoor,adj,室內的
indoors,adv,在室內
jealous,adj,嫉妒的
jelly,n,果凍/果醬
jewel,n,寶石
jewelry,n,珠寶
junk,n,垃圾
junk,v,丟棄
trash,n,垃圾
trash,v,搗毀、破壞
lung,n,肺臟
liver,n,肝臟
kidney,n,腎臟
knot,v,打結
knot,n,繩結
litter,n./v,亂丟垃圾
mall,n,大型購物中心
medal,n,獎牌
merry,adj,歡樂的
microphone/mike,n,麥克風
microwave,n./v,微波
nap,n./v,小睡
collar,n,衣領
white-collar, ,白領階級的
blue-collar, ,藍領階級的
necktie,n,領帶
pal,n,好朋友/夥伴/哥兒們
pancake,n,鬆餅
doughnut, ,甜甜圈
parcel,n,包裹（中、大型）
parcel,v,包起來、捆紮
pity,v./n,同情、憐憫/遺憾的事
self-pity,n,自憐
pitiful,adj,可憐的
pollutant,n,汙染物
rot,v./n,腐壞
rotten,adj,腐爛的
rotten to core, ,爛到底了、壞到骨子裡了
rust,n./v,生鏽
sack,n,大袋子
shampoo,n,洗髮精 
soap opera, ,連續劇
shepherd,n,牧羊人
sheepdog,n,牧羊犬
slip,v.z,失足、滑倒/滑落/溜進
slip,n,小紙片/滑
slip of the tongue, ,口誤
slipper,n,拖鞋
slippery,adj,滑的
sorrow,n,悲傷
spy,n,間諜
spy,v,暗中監視/見到
stadium,n,露天大型運動場
gymnasium,n,體育館/健身房
stool,n,凳子/糞便
