,,,
horror,n,恐怖/令人害怕的事物
horrible,adj,可怕的/糟糕的
salary,n,薪水
wage,n,薪資（時薪、週薪）
wage,v.,進行、發動戰爭、運動
gum,n,牙齦/口香糖
grin,n/v,露齒而笑
pile,n,一堆；v.堆置
pile up,,堆集;積累
heap,n,凌亂的一堆
heap,v,堆積
zone,n,特殊地帶
zone,v,.規劃特定用途區
ivory,n,象牙；adj.象牙白的
ivory tower,n,象牙塔
wealth,n,財富
wealthy,adj,富有的
stubborn,adj,固執的
rid,v,去除
mighty,adj,強大的
might,n,力量
humid,adj,潮濕的
moist,adj,濕潤的
moisture,n,濕氣、潮濕
chill,n,寒冷；
chill,v,使變冷
chill,adj,變冷的、冷淡的
chilly,adj,寒冷的/冷漠的
comfort,n,安慰
comfort,v,安慰、使舒適
comforting,adj,安慰的、慰勉的
dash,n,急衝/短跑/破折號
dash,v,猛衝
vacant,adj,空的、未被佔用的
sum,n,總金額、總和
sum,v,總計/總結
to sum up,,總之
robe,n,寬鬆的長袍/浴袍
crash,n,事故/撞擊聲
crash,v,墜毀/粉碎/當機
icy,adj,冰冷的/冷淡的
screw,v,用螺絲釘固定
screw,n,螺絲釘
pottery/ceramics,n,陶器
clay,n,陶土
vitamin,n,維他命
ache,n./v.,疼痛
someday,adv,有朝一日
sometime,adv,某時
somehow,adv,不知怎麼地
anyhow,adv,無論如何
heal,v,痊癒/治癒
flame,n./v.,發出火焰
jungle,n,叢林
concrete jungle,,水泥叢林 都市叢林
pave,v,鋪路/打造鋪設
pave the way for,,為...鋪路
pavement,n,人行道
solid,adj,固體的/堅固的/紮實的；
solid,n,固體
liquid,adj./n.,液體
sword,n,劍
canyon,n,峽谷
dive,n./v.,跳水、潛水
surf,v,衝浪
feather,n,羽毛
fur,n,毛皮
furry,adj,毛茸茸的
drunk,adj,酒醉的
drunk,n,酒醉者
luggage,n,行李
excellence,n,卓越
whip,n./v.,鞭打/攪打成糊狀
