,,,
defy,v.,違抗、反抗
grim,adj.,嚴峻的、令人擔憂的、令人沮喪的
hardship,n.,艱苦、艱難、貧困
notorious,adj.,惡名昭彰的、聲名狼藉的
physics,n.,物理學
unremarkable,adj.,普通的、一般的、平常的
critic,n.,反對者、批評者；評論員
courageous,adj.,勇敢的、有膽量的
execution,n.,（依法進行的）處決、處死；（有計畫的）實行
authority,n.,當局、官方（作此義時常用複數形）
determination,n.,決心、堅決
custody,n.,（等候法庭審判期間的）監禁、拘留；監護、監護權
extraordinary,adj.,非凡的、優秀的；非常奇特的
commitment,n.,投入、奉獻；保證（後面可接 to N.）
cruelty,n.,殘忍、殘暴、殘酷行為
