,,,
repetition,n,重複
repetitive,adj,不斷持續重複發生的
repeated,adj,反覆發生過多次的
repeatedly,adv,反覆地
intimate,adj,親密的
intimate,n,至交
on intimate terms, ,關係密切、很親近
flexible,adj,有彈性的
boast,v,誇耀
boast,n,引以為傲的事物
earnest,adj,認真誠懇的
earnest,n,認真
earnestly,adv,認真地
magnetic,adj,有磁力的
magnetic,adj,有磁性的
magnetic field, ,磁場
halt,v/n,停止;中斷
reservation,n,預約
biochemistry,n,生物化學
biologist,n,生物學家
decoration,n,裝潢;裝飾品
refusal,n,拒絕
ambitious,adj,有野心的
be ambitious for, ,對... 懷有野心
ruin,v/n,毀壞;廢墟
imaginary,adj,虛構的
imaginative,adj,富有想像力的
imaginable,adj,可想像的
elementary,adj,基本的
circular,adj,圓形的;循環的
circulate,v,循環;散佈
circulation,n,循環;流通;發行量
embassy,n,大使館
reluctant,adj,不情願的
reluctantly,adv,不情願地
reluctance,n,勉強
fame,n,名聲
infamous,adj,惡名昭彰的
frown,n/v,皺眉;愁眉苦練;對;表達不滿
margin,n,邊緣;空白處;差距
mild,adj,溫和的
dynamic,adj,動態的;不斷變動的
dynamics,n,動力學;動力
popularity,n,普及;受歡迎或支持程度
accent,n,重音;口音;腔調
portray,v,畫（肖像）;描繪
suspicious,adj,多疑的;起疑的
catalogue,n/v,目錄;製作目錄;編入目錄
bulletin,n,佈告;告示
instinct,n,本能
by instinct, ,本能地
glimpse,n/v,一瞥;暼了一眼;瞥見
explosion,n,爆炸;爆發
explosive,adj,會爆炸的;火爆的;易起爭論的
damp,adj/v/n,潮濕的;弄濕;潑冷水;減弱氣勢;濕氣;水分
gear,n/v,齒輪;汽車排檔;整套裝備;調整;使適合
gear up for, ,為...做好準備
rage,n/v,憤怒;狂暴;猛烈【風浪】;暴怒;猛攻;肆虐
fly into adj rage, ,勃然大怒
cruelty,n,殘酷
rescue,v/n,救援;救援
globe,n,球狀體;地球;地球儀
profitable,adj,有利潤的
prosper,v,興盛
prosperous,adj,繁榮的
prosperity,n,繁榮
