,,,
round,n,回合
bow,vi,鞠躬
ruler,n,統治者
mate,n,伙伴；配偶
mate,v,交配
pin,n,大頭針
look for adj needle in the haystack,,海底撈針
flat,adj,平坦的;斷然的
flatly,adv,斷然地;毅然地;直截了當地
cure sb of sth,v,治癒~的病
cure,n,治療的方法或藥物
treat,n,款待;請客
uniform,n,制服
uniform,adj,統一的
toast,n,舉杯祝福;敬酒
stage,n,階段、舞台
stage adj protest,,發動抗議
strict,adj,嚴格的
single,adj,單一的；單身的
single out,,單獨挑出
mine,n,礦
bark,n;vi,吠叫
title,n,標題
sort,n,種類
sort out,,分類
paste,vt,黏貼
glue,n,膠水
glue,v,黏貼;盯著看
debate,n,討論;爭論;辯論
appetite,n,食慾
blank,adj,空白的
aloud,adv,大聲地
cabbage,n,高麗菜
crayon,n,蠟筆
dial,n,針盤(鐘錶)
ketchup,n,番茄醬
lid,n,蓋子
nephew,n,侄子;外甥
niece,n,姪女
pardon,n;vt,原諒
excuse,vt,原諒;寬恕
waist,n,腰部
hero,n,英雄
heroine,n,女英雄;女主角
hop,vi,單腳跳
jam,n,果醬
jam,vt,硬塞;擠滿
block,n,街區
ladybug,n,瓢蟲
figure,n,數字，數據
pajamas,n,睡衣褲
shower,n,陣雨;淋浴
pressure,n,壓力
seek (sought / sought / seeking),vt,尋找
