,,,
substantially,adv.,非常、在很大程度上；基本上、大體上
surge,n. v., 急遽上升、激增
attribute,v., 把⋯⋯歸因於、認為⋯⋯是⋯⋯所為；認為某人有⋯⋯（特質）
attribute,n., 屬性、特質、特性
bond,v., （使）建立親密關係；（使）相互連結
bond,n., （情感的）紐帶、關係；聯繫
renowned,adj., 著名的；有聲望的
affectionate,adj., 有感情的、充滿深情的、關愛的
companion,n., 夥伴、同
